file_number,phrase,trc,readID,telo_length
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.434,ERR11436636.4510,2510
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.728,ERR11436636.34590,1940
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.889,ERR11436636.60645,2300
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.476,ERR11436636.119854,1820
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.854,ERR11436636.156988,2540
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.903,ERR11436636.163616,3020
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.777,ERR11436636.167973,2060
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.448,ERR11436636.169120,2150
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.917,ERR11436636.172618,2750
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.833,ERR11436636.172767,2300
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.903,ERR11436636.184435,1670
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.910,ERR11436636.201928,2030
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.938,ERR11436636.206253,1880
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.903,ERR11436636.217453,2300
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.931,ERR11436636.217988,1910
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.917,ERR11436636.236652,1880
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.889,ERR11436636.264705,2150
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.532,ERR11436636.287221,2780
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.707,ERR11436636.287658,2270
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.420,ERR11436636.303007,1700
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.917,ERR11436636.306876,2090
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.896,ERR11436636.362011,2720
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.728,ERR11436636.371524,2450
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.693,ERR11436636.405761,380
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.840,ERR11436636.406699,2210
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.420,ERR11436636.423852,2330
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.980,ERR11436636.433540,2240
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.945,ERR11436636.434696,2540
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.868,ERR11436636.445086,2060
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.854,ERR11436636.457120,2120
Col-0-6909_GWHBDNP00000001.1_nano_right.fastq,4,0.784,ERR11436636.468380,1520
